"date","caption","link"
2022-07-24,"Avian influenza (152): Europe (Poland, Germany) poultry, HPAI H5N1, WOAH","https://promedmail.org/promed-post/?id=8704618&view=true"
2022-07-23,"Poliomyelitis update (31): WPV1 AFP (Pakistan), VDPV2 (USA), cVDPV2 (Nigeria, Yemen)","https://promedmail.org/promed-post/?id=8704617&view=true"
2022-07-23,"African swine fever - Asia (13): India (KL) domestic, 1st rep","https://promedmail.org/promed-post/?id=8704616&view=true"
2022-07-23,"Foot & mouth disease - Indonesia (13): livestock, spread, intl impact","https://promedmail.org/promed-post/?id=8704604&view=true"
2022-07-23,"Peste des petits ruminants - Algeria: sheep, goat, WOAH","https://promedmail.org/promed-post/?id=8704608&view=true"
2022-07-23,"Monkeypox update (36)","https://promedmail.org/promed-post/?id=8704611&view=true"
2022-07-23,"COVID-19 update (157): monoclonal Ab & antivirals, WHO","https://promedmail.org/promed-post/?id=8704612&view=true"
2022-07-23,"Anthrax - Azerbaijan (02): (BR) cattle, WOAH","https://promedmail.org/promed-post/?id=8704602&view=true"
2022-07-22,"Salmonellosis, st Stanley - USA: pet turtle","https://promedmail.org/promed-post/?id=8704601&view=true"
2022-07-22,"Newcastle disease - Philippines (02): (CV) poultry","https://promedmail.org/promed-post/?id=8704586&view=true"
2022-07-22,"Bat lyssavirus (EBLV-2) - Switzerland (02): Brandt's bat, correction","https://promedmail.org/promed-post/?id=8704596&view=true"
2022-07-22,"Monkeypox update (35)","https://promedmail.org/promed-post/?id=8704591&view=true"
2022-07-22,"Japanese encephalitis & other - India (13): (AS)","https://promedmail.org/promed-post/?id=8704589&view=true"
2022-07-22,"Poliomyelitis update (30): VDPV2 AFP (USA)","https://promedmail.org/promed-post/?id=8704588&view=true"
2022-07-21,"COVID-19 update (156): oxygen for long COVID, updates, WHO","https://promedmail.org/promed-post/?id=8704584&view=true"
2022-07-21,"Anthrax - Canada: (NT) bison, susp","https://promedmail.org/promed-post/?id=8704583&view=true"
2022-07-21,"Anthrax - Kyrgyzstan (02): (TL) human, cattle, WOAH","https://promedmail.org/promed-post/?id=8704578&view=true"
2022-07-21,"Rabies (32): Europe (Spain) dog, WOAH","https://promedmail.org/promed-post/?id=8704574&view=true"
2022-07-21,"Monkeypox update (34)","https://promedmail.org/promed-post/?id=8704565&view=true"
2022-07-20,"Botulism - USA (05): (CA)","https://promedmail.org/promed-post/?id=8704547&view=true"
